Words,Emotion-1,Emotion-2,Emotion-3,Emotion-4
使え,悲しい,,,
使用,驚き,,,
依頼,信頼感,,,
保育,信頼感,,,
保険,信頼感,,,
信用,信頼感,,,
信頼,信頼感,,,
修理,信頼感,,,
借金,不安,,,
健康,不安,,,
偶然,驚き,,,
傘,悲しい,,,
働いて,悲しい,,,
優勝,驚き,,,
兄,悲しい,,,
兄弟,信頼感,,,
先,不安,,,
先日,驚き,,,
先生,信頼感,,,
先輩,信頼感,,,
児童,怒り,,,
入った,楽しい,,,
入って,嫌悪感,,,
入れて,嫌悪感,,,
入院,悲しい,,,
全く,怒り,,,
全て,嫌悪感,,,
全然,驚き,,,
公表,悲しい,,,
具合,信頼感,,,
内容,楽しい,,,
円,驚き,,,
再会,信頼感,,,
最近,驚き,,,
写真,楽しい,,,
冬,驚き,,,
出,悲しい,,,
出かけた,楽しい,,,
出さ,怒り,,,
出した,悲しい,怒り,,
出た,嫌悪感,驚き,楽しい,
出て,驚き,,,
出る,不安,驚き,,
出来,悲しい,,,
出来た,信頼感,,,
出来て,楽しい,,,
出来る,信頼感,,,
出来事,悲しい,,,
出産,驚き,,,
分から,怒り,信頼感,,
切れて,悲しい,,,
列,怒り,,,
初めて,楽しい,,,
別の,嫌悪感,,,
別れ,悲しい,,,
利用,信頼感,,,
券,悲しい,,,
前,怒り,,,
剤,嫌悪感,,,
割り,怒り,,,
力,不安,,,
助け,信頼感,,,
助けて,信頼感,,,
勉強,悲しい,怒り,信頼感,
動物,驚き,,,
動画,嫌悪感,楽しい,,
勝った,楽しい,,,
勝手に,怒り,,,
化粧,嫌悪感,,,
医師,信頼感,,,
医者,信頼感,,,
卒業,悲しい,,,
原因,怒り,,,
参加,楽しい,,,
友,信頼感,,,
友人,信頼感,,,
友達,信頼感,,,
収入,不安,,,
叔母,悲しい,,,
取ら,怒り,,,
取引先,信頼感,,,
受けた,怒り,,,
受けて,悲しい,驚き,,
受験,不安,,,
口,嫌悪感,,,
古い,驚き,,,
台風,不安,,,
合わ,悲しい,,,
合格,不安,,,
同じ,嫌悪感,,,
同僚,信頼感,,,
同級生,驚き,,,
周り,怒り,,,
周囲,嫌悪感,,,
品,嫌悪感,信頼感,驚き,
員,嫌悪感,,,
商品,悲しい,,,
問題,怒り,,,
喧嘩,怒り,,,
嘘,嫌悪感,,,
回復,不安,驚き,,
回答,信頼感,,,
国,怒り,,,
国会,怒り,,,
国民,怒り,,,
園,悲しい,信頼感,驚き,楽しい
地震,不安,,,
堀,驚き,,,
報告,驚き,,,
報道,嫌悪感,,,
場,怒り,,,
場所,嫌悪感,,,
増えた,悲しい,,,
増えて,不安,,,
増税,不安,,,
壊れた,悲しい,,,
壊れて,悲しい,,,
声,怒り,信頼感,,
売り,悲しい,,,
変化,驚き,,,
外,嫌悪感,驚き,,
外出,不安,,,
外国,嫌悪感,,,
外食,楽しい,,,
多,驚き,,,
多い,怒り,,,
多く,怒り,,,
夜,不安,,,
夢,悲しい,,,
大きく,悲しい,,,
大丈夫,不安,,,
大事な,悲しい,,,
大人,怒り,嫌悪感,,
大会,驚き,,,
大切に,悲しい,,,
大好きな,悲しい,,,
大学,驚き,,,
大阪,驚き,,,
天気,不安,,,
天皇,信頼感,,,
夫,信頼感,,,
夫婦,信頼感,,,
失敗,悲しい,信頼感,,
契約,信頼感,,,
女,嫌悪感,,,
女優,驚き,,,
女児,嫌悪感,,,
女性,嫌悪感,,,
奴,嫌悪感,,,
好きな,楽しい,,,
妊娠,驚き,,,
妹,信頼感,,,
妻,信頼感,,,
姉,怒り,,,
始めた,不安,,,
姪,楽しい,,,
姿,信頼感,楽しい,,
娘,驚き,,,
嫁,信頼感,,,
嫌いな,嫌悪感,,,
嫌がらせ,怒り,嫌悪感,,
嫌な,嫌悪感,,,
嫌悪,嫌悪感,,,
子,驚き,,,
子ども,驚き,,,
子供,驚き,,,
存在,信頼感,,,
学校,不安,怒り,,
学生,信頼感,,,
孫,楽しい,,,
守って,信頼感,,,
守ら,怒り,,,
安倍,信頼感,,,
安定,不安,,,
安心,信頼感,,,
定年,不安,,,
宝くじ,驚き,,,
実家,悲しい,,,
客,嫌悪感,,,
家,怒り,,,
家事,怒り,,,
家庭,悲しい,信頼感,,
家族,信頼感,,,
寒,驚き,,,
寝,悲しい,,,
対し,信頼感,,,
対して,嫌悪感,,,
対する,嫌悪感,,,
対応,信頼感,,,
将来,不安,,,
小学生,悲しい,怒り,驚き,
少し,不安,,,
少ない,不安,,,
少なく,不安,,,
就職,不安,,,
尻,驚き,,,
屋,信頼感,,,
嵐,驚き,,,
希望,悲しい,,,
師,信頼感,,,
席,嫌悪感,,,
帰って,信頼感,,,
帰り,不安,,,
帰宅,怒り,,,
常に,不安,,,
平気で,怒り,,,
年,悲しい,,,
年金,不安,,,
年齢,驚き,,,
幼稚園,不安,,,
店,悲しい,嫌悪感,,
店員,怒り,,,
度,怒り,嫌悪感,,
式,悲しい,,,
引っ越し,不安,,,
弟,怒り,信頼感,驚き,
強い,信頼感,,,
当たった,驚き,,,
当選,驚き,,,
役員,嫌悪感,,,
彼女,信頼感,,,
彼氏,驚き,,,
待ち,不安,怒り,,
待って,怒り,,,
後,不安,信頼感,,
後ろ,怒り,,,
後輩,信頼感,,,
従業,嫌悪感,,,
得,嫌悪感,信頼感,,
心,悲しい,信頼感,,
心配,不安,,,
必要,信頼感,,,
忘れて,悲しい,,,
忙しい,怒り,,,
応募,悲しい,,,
応援,悲しい,楽しい,,
怒った,怒り,,,
怒ら,怒り,,,
怒り,怒り,,,
怒る,怒り,,,
思い,信頼感,,,
思う,不安,,,
思った,不安,信頼感,,
思って,驚き,,,
思わ,不安,信頼感,,
急に,驚き,,,
怪我,悲しい,,,
恋人,悲しい,信頼感,楽しい,
恋愛,怒り,,,
息子,驚き,,,
患者,嫌悪感,,,
悩み,信頼感,,,
悪,嫌悪感,,,
悪い,怒り,,,
悪かった,嫌悪感,,,
悪く,不安,,,
悪化,不安,,,
悲しい,悲しい,,,
悲しかった,悲しい,,,
悲しく,悲しい,,,
情報,楽しい,,,
意味,怒り,,,
意見,信頼感,,,
愛,悲しい,,,
愛犬,悲しい,,,
感,嫌悪感,,,
感じ,信頼感,,,
感じた,信頼感,,,
感じて,信頼感,,,
感じる,嫌悪感,,,
感情,嫌悪感,,,
態度,嫌悪感,,,
懸賞,驚き,,,
成功,信頼感,,,
成長,驚き,,,
所,怒り,,,
手,嫌悪感,,,
手伝って,信頼感,,,
手術,不安,,,
扱い,怒り,,,
批判,嫌悪感,,,
投稿,嫌悪感,,,
抱いた,嫌悪感,,,
抽選,驚き,,,
担当,信頼感,,,
持つ,嫌悪感,,,
持った,嫌悪感,,,
持って,信頼感,,,
指示,怒り,,,
挨拶,嫌悪感,,,
捨て,怒り,,,
掃除,嫌悪感,,,
接客,怒り,,,
携帯,嫌悪感,信頼感,,
政府,怒り,,,
政治,怒り,,,
故障,不安,,,
教えて,信頼感,,,
散歩,楽しい,,,
数,悲しい,,,
文句,怒り,,,
料理,楽しい,,,
新しい,楽しい,,,
新人,怒り,,,
方,信頼感,,,
施設,悲しい,,,
旅行,楽しい,,,
日,楽しい,,,
日々,楽しい,,,
日本,不安,,,
旦那,信頼感,,,
早く,怒り,信頼感,,
明日,不安,,,
昔,信頼感,,,
映画,楽しい,,,
時,楽しい,,,
時代,信頼感,,,
時間,楽しい,,,
普段,信頼感,,,
景気,不安,,,
暴言,怒り,,,
月,不安,,,
有名,驚き,,,
服,悲しい,,,
朝,怒り,楽しい,,
期待,驚き,,,
期限,悲しい,不安,,
未来,不安,,,
本,楽しい,,,
本当に,不安,,,
来,不安,驚き,,
来た,不安,,,
来て,信頼感,,,
来る,不安,,,
来年,不安,,,
東京,驚き,,,
柔軟,嫌悪感,,,
株価,不安,,,
桜,怒り,,,
検査,不安,,,
業務,信頼感,,,
業績,不安,,,
