Words,Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
いつも,0.2442,0.1503,0.3476,0.4023,2.8098,0.1503,0.1959
いて,0.0,0.1057,0.9966,1.3145,0.3096,0.1057,0.1057
イベント,0.2642,0.0,0.0833,0.0,0.0,0.2642,1.75
イモトアヤコ,0.0,0.0,0.0,0.0,0.0667,3.6464,0.0
イライラ,0.0714,0.0714,2.8168,0.0714,0.0,0.0,0.0
いる,0.0668,0.2489,0.7587,2.1943,1.0237,0.2489,0.2489
いろいろ,0.0,0.0714,0.0,0.0714,1.2032,0.4286,0.4286
インフルエンザ,1.1026,0.913,0.0,0.0435,0.1378,0.5619,0.0
うち,0.0,0.6634,0.4286,0.0714,0.6634,0.0714,0.0714
うまく,0.4108,2.4273,0.2265,0.0,0.2265,0.0,0.3152
うるさい,0.0667,0.0,1.4,1.4,0.0,0.0,0.0
エリカ,0.0689,0.0,0.0217,0.281,0.0,4.077,0.0689
オークション,0.2264,0.0,0.4286,0.0714,0.6634,0.0714,0.4286
おじさん,0.4286,0.0,0.2264,1.8114,0.0,0.0714,0.0
おばさん,0.1865,0.0,0.7603,1.7587,0.0,0.0588,0.0
お腹,0.2642,1.4037,0.0,0.2642,0.0833,0.0,0.0833
カード,0.1509,0.8021,1.0,0.0476,0.0,0.6155,0.0
かかった,0.774,0.774,0.2642,0.0833,0.0,0.0833,0.0
かかって,0.2882,0.0909,0.5455,0.0,0.0909,0.5455,0.0909
かけて,0.0991,0.0,0.6562,0.4039,1.2323,0.1875,0.2902
かなり,0.2222,0.4787,0.4787,0.037,0.2222,1.1073,0.037
カラオケ,0.0,0.0,0.0,0.0476,0.0,0.0476,3.9103
がん,0.8617,0.4,0.0,0.0,0.0667,1.1229,0.0
ガン,1.6431,0.387,0.0,0.0,0.0,1.2457,0.0
きた,0.3529,0.3529,0.1865,0.5463,0.0588,0.3529,0.0588
きちんと,0.0,0.1509,0.1509,0.1509,2.6046,0.0476,0.0
キャラ,0.0909,0.0909,0.0909,0.2882,0.2882,0.5455,0.0909
キャンセル,1.2032,0.0714,0.9232,0.0714,0.0,0.0714,0.0
キャンプ,0.0,0.0,0.0,0.0,0.0,0.0,3.585
クラウドソーシング,0.5,0.0,1.0771,0.0,0.0,0.0,0.774
グループ,0.5455,0.0909,0.0,0.2882,0.5455,0.2882,0.0
くれた,0.0,0.0,0.0,0.0,3.6333,0.0556,0.0556
ゲーム,0.0789,0.0417,0.1701,0.1701,0.0132,0.1222,4.2979
ゴキブリ,0.0769,0.0,0.0,3.0334,0.0,0.0769,0.0
こと,1.4111,0.7371,1.2969,0.818,1.0829,1.4605,1.2107
こども,0.0,0.0,0.774,0.0,0.0,1.0771,0.5
このまま,0.0,3.75,0.0,0.0625,0.0,0.0,0.0
この先,0.0,4.1466,0.0,0.0,0.1321,0.0,0.0
ゴミ,0.0961,0.0,1.9818,1.3456,0.0303,0.0961,0.0
ゴルフ,0.0526,0.0526,0.0,0.0,0.0,0.0,3.731
コンサート,0.0667,0.0667,0.0,0.0,0.0667,0.0667,2.629
コンビニ,0.0476,0.1509,1.0,1.4237,0.0,0.1509,0.0
ご飯,0.24,0.0,0.3715,0.0,0.24,0.3715,1.5774
さ,1.1298,0.4651,2.323,0.8053,0.4471,0.6124,0.1812
サイト,0.0476,0.0,0.4423,0.4423,0.2857,0.4423,0.6155
サッカー,0.1585,0.05,0.1585,0.0,0.3,0.6462,1.05
サプライズ,0.0714,0.0,0.0,0.0,0.0,3.1718,0.0714
サポート,0.0417,0.0417,0.0417,0.0417,3.6603,0.0,0.0
さらに,0.0833,0.0,0.774,0.2642,0.0833,0.5,0.0833
し,0.6458,0.5408,1.3913,1.0068,0.6995,0.5408,0.3902
した,1.8569,0.4646,0.7882,0.5589,0.7436,1.2048,1.1455
したら,0.2534,0.1821,0.5862,0.1176,1.1765,0.9705,0.0622
したり,0.1865,0.0,0.1865,0.0588,0.1865,0.3529,1.2353
しっかり,0.0,0.0,0.0625,0.0,2.7753,0.1981,0.0625
して,0.8684,0.6487,0.9773,0.9857,2.0771,0.8684,0.8353
しよう,0.5385,1.2457,0.25,0.25,0.0417,0.1321,0.0417
ショッピング,0.3333,0.0,0.1761,0.0,0.0,0.9358,1.1667
しれ,0.1761,1.1667,0.3333,0.3333,0.0556,0.0556,0.0556
す,0.0,0.0909,0.2882,0.0909,0.8443,0.0909,0.2882
スーパー,0.066,0.0,0.7207,1.4768,0.2693,1.0312,0.0208
すぐ,0.3828,0.2111,0.1364,0.3828,1.7378,0.2111,0.1364
すごく,0.6192,0.0667,0.2113,0.2113,0.0,0.4,0.4
ずっと,0.4169,0.4169,0.2996,0.5434,0.6774,0.1935,0.0323
スポーツ,0.0556,0.0,0.0556,0.0556,0.0556,0.718,1.661
スマホ,0.5693,0.1657,0.8385,0.7692,0.4435,0.7012,0.216
する,0.2876,0.8815,1.3765,1.3988,0.6587,0.504,0.6587
せ,0.25,0.0417,1.4414,0.875,0.0,0.25,0.0
せい,0.3529,0.1865,0.9908,0.7603,0.0588,0.0,0.0
センター,0.2882,0.0909,0.0909,0.0,0.2882,0.0909,0.8443
その後,0.2882,0.0909,0.8443,0.0,0.0909,0.5455,0.0
たくさん,0.0,0.1441,0.0455,0.1441,0.2727,0.7656,1.1527
タスク,0.8443,0.2882,0.0909,0.0909,0.0909,0.2882,0.0
タバコ,0.0244,0.0,0.9618,3.1658,0.0244,0.0244,0.0
ため,1.2155,0.5635,0.2064,0.3743,0.3743,0.2064,0.1333
チーム,0.5264,0.0,0.4039,0.0312,1.0811,0.4039,0.4039
ちえ,1.05,0.0,0.0,0.0,0.0,2.4748,0.0
チケット,0.7656,0.2727,0.2727,0.1441,0.0455,0.4222,0.2727
ちゃんと,0.0,0.9908,0.1865,0.0588,1.2353,0.0,0.0588
ついた,0.8021,0.1509,0.1509,0.4423,0.0476,0.6155,0.0476
ついて,0.3381,1.486,0.3986,0.5258,1.0195,0.1238,0.0133
つか,0.1585,0.05,0.3,0.4644,1.268,0.1585,0.0
つく,0.0,0.2438,0.7144,0.9942,0.0,0.2438,0.0
でき,1.0215,0.8243,0.5163,0.636,0.4585,0.2442,0.1503
できた,0.1548,0.0528,0.0167,0.0,0.9116,0.6572,2.2671
できて,0.387,0.387,0.0417,0.1321,0.1321,0.25,1.0566
できる,0.0094,1.2245,0.0094,0.0299,2.7427,0.1981,0.6688
テスト,0.9232,0.9232,0.0714,0.0714,0.0714,0.0714,0.0
テニス,0.0,0.0,0.0,0.0,0.0,0.4615,2.6611
テレビ,0.4211,0.0446,0.2372,0.8451,0.0446,0.3572,2.0042
テロ,0.0667,0.0,0.8617,1.9932,0.0,0.0,0.0
トイレ,0.1667,0.4679,0.0881,1.9691,0.1667,0.258,0.0278
とき,0.5065,0.5486,0.6346,0.7897,1.115,0.3446,1.6575
とくに,0.3801,0.0294,0.2732,0.2732,0.8793,1.0175,0.0294
ところ,0.4286,0.1895,0.6102,0.5175,0.6102,0.6102,0.1224
とても,0.5639,0.5103,0.2614,0.0957,0.9056,0.5103,1.2115
ドライバー,0.0,0.0909,1.175,1.175,0.0,0.0,0.0
ドライブ,0.0,0.0,0.0435,0.0,0.0435,0.0435,3.8194
トラブル,0.0,0.2642,0.5,0.2642,1.0771,0.0,0.0
ドラマ,0.4954,0.0,0.0,0.1765,0.0,0.2732,2.7544
な,0.0,0.0909,0.8443,0.8443,0.0,0.2882,0.0
ない,0.3475,0.5573,0.9483,1.4929,1.0679,1.0335,0.6518
なかった,0.5615,0.3096,0.7,0.0333,0.2,0.7,0.1057
なかなか,0.6795,1.7378,0.6795,0.072,0.1364,0.0,0.1364
なく,0.216,0.4884,0.4884,0.3006,0.8045,0.3006,0.3006
なくて,0.8078,1.0528,0.375,0.0,0.1981,0.0,0.0
なくなった,2.7372,0.4308,0.3096,0.0,0.0333,0.0333,0.0
なし,0.377,0.2073,0.6504,1.1872,1.5228,1.5228,0.8185
なぜ,0.2642,0.0,1.0771,0.5,0.0833,0.0833,0.0
なった,1.8971,1.0282,0.2512,0.1904,0.4166,0.9467,0.1338
なって,1.3293,0.7622,0.5322,0.139,0.5881,0.5322,0.139
なら,0.2814,1.195,0.906,0.2814,0.0303,0.1818,0.0303
なり,1.3333,1.4533,0.2872,0.2064,0.0704,0.0704,0.0222
なる,0.1959,2.65,0.1503,0.2949,0.5755,0.1959,0.1959
に,0.1981,0.0,1.0528,1.3125,0.0625,0.0,0.0
ニュース,0.7782,0.2941,1.4192,1.5093,0.021,0.9843,0.0
ネコ,0.4286,0.0,0.0,0.4286,0.0714,0.2264,0.9232
ネット,0.2439,0.5641,0.4785,0.5641,0.0598,0.5641,0.744
の,0.7547,0.3835,0.8287,1.0831,0.4273,0.8287,1.0831
パートナー,0.0,0.0,0.0625,0.0,3.4185,0.0,0.0625
バイク,0.6155,0.1509,0.4423,0.2857,0.0,0.0476,0.8021
バイト,0.1093,0.0,1.1929,1.8861,0.0345,0.0345,0.0345
バス,0.0,0.0,0.8865,0.4888,0.1668,0.4888,0.3158
パソコン,0.4423,0.1509,0.1509,0.2857,0.4423,0.1509,0.4423
パチンコ,0.4286,0.0,0.0,0.0714,0.0,0.0,2.471
バレンタイン,0.0833,0.0833,0.0833,0.0,0.0833,1.0771,0.5
パワハラ,0.3203,0.1093,1.1929,1.3598,0.0,0.1093,0.0
バンド,0.5,0.0,0.0,0.0,0.2642,0.2642,1.0771
ひいて,0.0909,0.2882,0.2882,0.5455,0.2882,0.0909,0.0
びっくり,0.0556,0.0,0.0556,0.0,0.0,3.6333,0.0
ひと,0.04,0.24,0.1268,0.84,0.517,0.3715,0.24
ひどい,0.2882,0.2882,0.2882,0.8443,0.0,0.0909,0.0
フォロー,0.0,0.0,0.0,0.0833,3.2862,0.0,0.0
プレゼント,0.0312,0.0312,0.0312,0.0,1.3877,1.7093,0.1875
ペット,4.484,0.0123,0.1147,0.0391,0.0741,0.0741,0.2593
ボーナス,0.7656,0.7656,0.2727,0.0,0.1441,0.4222,0.0455
ポイ,0.0714,0.0,1.2032,1.5,0.0,0.0,0.0
ポイント,0.7044,0.1667,0.1667,0.0278,0.0278,1.0954,0.8305
ほしい,0.1509,0.4423,0.4423,0.4423,0.8021,0.0,0.0476
ほど,1.0771,0.0833,0.0833,0.5,0.0,0.0833,0.0833
ボランティア,0.0909,0.0,0.0,0.8443,0.8443,0.2882,0.0
まだ,0.6016,0.6016,0.1132,0.0,0.4616,0.9057,0.0357
マナー,0.0196,0.0,2.5451,1.9513,0.0,0.0196,0.0
ママ,0.1865,0.0,0.0588,0.1865,0.7603,0.0588,0.9908
マンション,0.0588,0.0,1.4917,0.3529,0.1865,0.3529,0.0
み,0.2882,0.0,0.0,0.0,0.0,1.9091,0.2882
ミス,1.0378,0.7868,0.9104,0.0263,0.4433,0.0,0.0263
みた,0.2857,0.0476,0.0476,1.6473,0.2857,0.1509,0.0476
みて,0.4423,0.0476,0.1509,0.1509,0.6155,0.0,1.0
みんな,0.0556,0.0556,0.0556,0.0556,0.516,0.0556,1.661
メール,0.4644,0.05,0.1585,0.1585,1.9717,0.0,0.0
メンバー,0.3333,0.0,0.1761,0.1761,1.4089,0.1761,0.0556
もう,0.2222,0.344,0.037,0.6239,0.1174,0.6239,0.4787
もの,0.6742,0.2614,0.4578,0.5639,0.5103,0.5103,0.9654
もらえる,0.0909,1.9091,0.0,0.2882,0.0,0.0,0.0909
もらった,0.0625,0.0,0.0625,0.0,0.5805,1.8686,0.0625
やつ,0.0625,0.0,1.3125,1.585,0.0,0.0,0.0
やって,0.0,0.3509,1.0312,0.3509,1.25,0.066,0.3509
やはり,0.1585,0.05,0.0,0.3,1.9717,0.05,0.1585
やり,0.0435,0.4038,0.913,0.4038,0.0435,0.2609,0.2609
やる,0.0526,0.0526,0.8865,0.6803,0.3158,0.0526,0.1668
ゆっくり,0.0833,0.0,0.0,0.0833,0.5,0.0,1.75
よく,0.5436,0.5436,0.235,0.3063,1.0909,0.3818,0.1689
よる,0.1818,1.3456,0.7685,0.2814,0.1818,0.1818,0.0
ラーメン,0.4,0.0667,0.0667,0.6192,0.0667,0.0,0.8617
ライブ,0.7862,0.0227,0.0227,0.0227,0.0,0.072,3.2341
ライン,0.2264,0.0,0.0714,0.9232,0.2264,0.2264,0.2264
ラグビー,0.1714,0.0,0.0,0.0,0.3693,2.0254,0.9884
ラッシュ,0.0,0.0833,0.0833,0.0,0.0,2.8829,0.0
ランチ,0.2113,0.0,0.0,0.0667,0.2113,0.0,2.3063
ルール,0.0,0.0,1.2957,0.9942,0.0,0.0769,0.0769
レジ,0.0556,0.0,1.661,0.9358,0.0556,0.0556,0.0
ローマ,0.0,0.0,0.0833,0.0,0.774,1.4037,0.0833
わかった,0.718,0.1761,0.1761,0.1761,0.0556,0.9358,0.0
わから,0.1154,1.3632,0.4877,0.5749,0.4877,0.3239,0.0192
一,0.4918,1.0133,0.8644,0.4057,0.3232,0.4918,0.6731
一番,0.0,0.0,0.0769,0.0,0.9942,0.2438,0.9942
一緒に,0.3,0.0453,0.0453,0.0857,1.0923,0.1327,2.4914
万,0.913,0.1378,0.5619,0.0,0.0435,0.7324,0.1378
三,0.9232,0.0714,0.2264,0.0,0.0,0.4286,0.4286
上,0.1023,0.0323,1.2721,1.2721,0.1935,0.1935,0.0
上がった,0.0833,0.5,0.0833,0.0,0.0,1.0771,0.2642
上司,0.1956,0.1117,1.5353,1.8299,1.8631,0.1737,0.0
上手く,0.4286,0.9232,0.0714,0.0,0.0714,0.0,0.6634
下,0.0714,0.0714,0.0714,0.4286,0.6634,0.2264,0.2264
不倫,0.0,0.0,0.0833,3.2862,0.0,0.0,0.0
不安,0.0417,7.968,0.0,0.0,0.03,0.0032,0.0
不安だ,0.0,4.3269,0.0,0.0,0.0435,0.0,0.0
不安だった,0.0,5.0,0.0,0.0,0.0,0.0,0.0
不安である,0.0,3.7004,0.0,0.0,0.0,0.0,0.0
不安です,0.0,4.8074,0.0,0.0,0.0,0.0,0.0
不安な,0.0,3.0935,0.0,0.0,0.375,0.0,0.0
不安に,0.0,6.3663,0.0,0.0,0.0,0.0,0.0345
不良,0.4888,2.0755,0.3158,0.0,0.0526,0.0,0.0
世の中,0.1761,0.3333,0.718,0.516,0.1761,0.1761,0.0
世界,0.0,1.0771,0.5,0.0833,0.0,0.0833,0.2642
世話,0.8422,0.05,0.05,0.0,1.9717,0.0,0.05
両親,1.6575,0.6364,0.0961,0.0961,0.5104,0.0,0.0961
中,0.321,0.5621,0.2132,2.4579,0.1636,0.2658,0.1176
中学,0.6634,0.0714,0.0,0.0,0.2264,0.4286,0.6634
主人,0.5979,0.2585,0.42,0.1858,1.4178,0.12,0.2585
久しぶりに,0.2439,0.0189,0.0,0.0189,0.5641,0.1752,3.1677
乗って,0.0,0.1093,0.5808,0.3203,1.3598,0.4457,0.0345
乗り,0.2113,0.0667,0.6192,0.2113,0.4,0.0667,0.2113
予報,0.0909,0.2882,0.0909,0.0,0.5455,0.8443,0.0
予定,0.8793,0.3801,0.4954,0.0932,0.0932,0.1765,0.6176
予想,0.5805,0.0625,0.0625,0.0,0.5805,0.5805,0.1981
事,0.8979,0.6022,0.9949,0.6022,0.8979,1.1265,0.9949
事件,0.7387,0.0896,1.9373,1.058,0.0,0.2514,0.0149
事故,1.7917,0.7173,0.8696,0.087,0.0459,0.5014,0.0
二,0.517,0.04,0.24,0.3715,0.1268,1.0144,0.1268
亡くなった,6.6907,0.0182,0.0057,0.0182,0.0182,0.1457,0.0
亡くなり,3.2862,0.0833,0.0,0.0,0.0,0.0,0.0
交通,1.1053,0.1668,0.6803,0.4888,0.0,0.0526,0.0
京都,0.0909,0.0909,0.0,0.0,0.0909,0.5455,1.175
人,0.4082,0.1511,1.1593,3.2334,1.015,1.0868,0.2293
人生,0.0769,1.9507,0.0,0.0,0.0,0.4615,0.0769
人間,0.3063,0.3063,0.9945,1.1891,0.717,0.0576,0.0
今,0.2625,1.1706,0.2106,0.1616,0.75,0.2106,1.0981
今年,0.4787,0.6239,0.0,0.0,0.1174,1.2813,0.344
今後,0.0,5.0645,0.0,0.0,0.0704,0.0,0.0222
今日,0.375,0.1981,0.375,0.5805,0.0,0.5805,0.0
介護,0.2732,1.9235,0.3801,0.0294,0.3801,0.0294,0.0932
仕事,0.5362,1.9673,0.9501,0.3931,2.3542,0.2385,0.4146
仕事場,0.4286,0.2264,0.2264,0.4286,0.6634,0.0,0.0
他人,0.2222,0.037,0.7778,2.4222,0.0,0.0,0.0
他界,3.585,0.0,0.0,0.0,0.0,0.0,0.0
付き,0.0909,0.5455,0.2882,0.0909,0.0909,0.5455,0.0
付き合い,0.0,0.375,0.0625,0.0625,1.585,0.0625,0.1981
代表,0.1981,0.0,0.0625,0.1981,0.0625,1.585,0.1981
以前,0.4,0.0667,0.0667,0.0,0.6192,0.2113,0.6192
仲,1.05,0.05,0.0,0.05,0.6462,0.1585,0.4644
仲間,0.0909,0.0,0.0909,0.1958,2.8415,0.0152,1.1585
件,0.0625,0.1981,0.375,0.5805,0.0625,0.5805,0.0625
任さ,0.0,0.1865,0.0,0.0588,2.9115,0.0588,0.0
任せ,0.0909,0.0,0.0,0.0,3.1449,0.0,0.0
休み,0.4971,0.1219,0.0385,0.0385,0.3572,0.0385,1.7079
休日,0.25,0.0417,0.1321,0.1321,0.0,0.0417,2.5
休止,0.4,0.0667,0.0,0.0,0.2113,1.9932,0.0
会,0.0972,0.1907,1.0699,0.4511,0.2601,0.2965,2.4015
会った,0.3096,0.0,0.0,0.3096,0.7,1.3145,0.3096
会って,0.0,0.0,0.0,0.0769,0.4615,0.2438,1.6154
会社,0.541,1.173,1.1396,0.975,0.9104,0.3175,0.0627
会話,0.0196,0.0,0.0622,0.2534,1.1765,0.0,2.6671
住んで,0.0667,0.0667,0.4,0.0667,0.2113,0.8617,0.2113
住人,0.0,0.2882,0.0909,1.175,0.0909,0.2882,0.0
体,0.0813,0.887,0.2381,1.2691,0.0813,0.2381,0.2381
体力,0.5805,1.3125,0.0625,0.0625,0.0,0.375,0.0
体調,0.6383,3.4749,0.1375,0.0,0.368,0.1792,0.0337
体重,1.05,0.3,0.0,0.0,0.0,1.7297,0.0
何,0.1451,0.7734,1.1076,0.5405,0.2632,0.2632,0.3962
何も,0.5526,0.0263,0.9104,0.2444,0.7868,0.0263,0.4433
何度,0.3096,0.3096,1.4802,0.7,0.0,0.1057,0.0333
作った,0.7144,0.0,0.2438,0.0769,0.0769,0.0769,0.7144
作って,0.0556,0.0,0.3333,0.0,1.1667,0.3333,0.516
使い,0.0556,0.718,0.516,0.718,0.0556,0.1761,0.0
使え,1.2957,0.0,0.4615,0.0,0.0769,0.2438,0.0769
使用,0.6192,0.0,0.0667,0.4,0.0667,0.8617,0.0667
依頼,0.0,0.0,0.5,0.0,1.75,0.0833,0.0833
保育,0.4615,0.2438,0.0769,0.0,0.7144,0.4615,0.0
保険,0.0,0.4,0.4,0.4,0.8617,0.0667,0.0
信用,0.0909,0.0,0.0909,0.8443,1.175,0.0,0.0
信頼,0.035,0.0027,0.0163,0.0086,8.181,0.0086,0.0
修理,0.2264,0.0714,0.0,0.0714,1.8114,0.2264,0.0
借金,0.2438,0.9942,0.2438,0.2438,0.0769,0.0769,0.0
健康,0.1574,4.5679,0.0537,0.0,0.0169,0.1574,0.0
偶然,0.0,0.0,0.0,0.0909,0.0,3.1449,0.0
傘,1.0771,0.0833,0.0833,0.2642,0.0833,0.0833,0.0833
働いて,0.8617,0.4,0.4,0.0,0.6192,0.0,0.0
優勝,0.1865,0.0,0.0,0.0,0.1865,2.035,0.3529
兄,1.3125,0.0625,0.375,0.0,0.5805,0.0625,0.0
兄弟,0.2113,0.0667,0.0667,0.0667,1.4,0.0667,0.2113
先,0.3684,1.6429,0.4449,0.5245,0.3684,0.0556,0.1053
先日,0.0714,0.0,0.0714,0.4286,0.4286,0.6634,0.2264
先生,0.0906,0.0,0.0,0.0,4.2465,0.1714,0.0
先輩,0.4528,0.0,0.375,0.3008,2.8825,0.1071,0.0
児童,0.6192,0.0,1.4,0.6192,0.0,0.0,0.0
入った,0.2727,0.0455,0.2727,0.4222,0.0455,0.2727,0.9545
入って,0.1585,0.1585,0.3,1.05,0.3,0.1585,0.05
入れて,0.2882,0.2882,0.2882,0.8443,0.0909,0.0,0.0
入院,1.3128,1.2111,0.3889,0.0,0.172,0.3889,0.1111
全く,0.6016,0.0357,0.75,0.0357,0.4616,0.4616,0.2143
全て,0.0476,0.2857,0.8021,1.4237,0.0,0.1509,0.0
全然,0.0909,0.2882,0.2882,0.0,0.0909,1.175,0.0
公表,1.5313,0.0,0.0,0.0,0.0,1.175,0.0
具合,0.4222,0.4222,0.2727,0.2727,0.5875,0.1441,0.0455
内容,0.3317,0.1132,0.4616,0.4616,0.3317,0.1132,0.6016
円,0.4423,0.0476,0.0476,0.0,0.6155,1.2076,0.1509
再会,0.0,0.0833,0.0,0.0,1.0771,0.2642,0.774
最近,0.6167,0.7591,0.582,0.7955,0.4146,0.9064,0.6167
写真,0.0714,0.0714,0.2264,0.0714,0.0714,0.2264,1.2032
冬,0.0,0.2882,0.0,0.0,0.0,1.5313,0.5455
出,1.1667,0.9358,0.3333,0.0556,0.0556,0.0,0.0
出かけた,0.0,0.0667,0.0667,0.0,0.0667,0.2113,2.3063
出さ,0.0,0.0,1.75,0.2642,0.2642,0.0833,0.0
出した,0.5463,0.1865,0.5463,0.1865,0.1865,0.1865,0.0588
出た,0.1441,0.2727,0.1441,0.5875,0.0,0.5875,0.5875
出て,0.281,0.3662,0.2019,0.6499,0.3662,1.076,0.1304
出る,0.2642,0.5,0.0833,0.0833,0.0,0.5,0.2642
出来,0.8649,0.525,0.525,0.3231,0.15,0.2322,0.2322
出来た,0.0,0.0667,0.0,0.0,1.4,0.8617,0.2113
出来て,0.0833,0.5,0.0,0.0,0.2642,0.2642,0.774
出来る,0.0345,0.7241,0.0345,0.0,1.7067,0.2069,0.3203
出来事,0.9392,0.0,0.1174,0.4787,0.7778,0.2222,0.1174
出産,0.0714,0.4286,0.2264,0.2264,0.2264,0.6634,0.0
分から,0.0435,0.4038,0.7324,0.2609,0.7324,0.2609,0.0
切れて,2.7179,0.0,0.0,0.0,0.0909,0.0909,0.0
列,0.0769,0.0,2.6611,0.2438,0.0,0.0,0.0
初めて,0.634,0.525,0.0,0.0792,0.2322,0.4211,1.2374
別の,0.0,0.5,0.5,0.774,0.2642,0.0,0.0
別れ,3.9383,0.0,0.0556,0.0,0.0,0.0,0.0
利用,0.2264,0.2264,0.2264,0.0714,0.4286,0.2264,0.2264
券,1.2076,0.1509,0.1509,0.1509,0.0476,0.6155,0.0476
前,0.4449,0.2268,1.0526,0.5245,0.3684,0.5245,0.1629
剤,0.05,0.4644,0.1585,0.8422,0.1585,0.3,0.1585
割り,0.0,0.0,4.1209,0.3096,0.0,0.0,0.0
力,0.0,0.8865,0.1668,0.0,0.3158,0.6803,0.3158
助け,0.0833,0.0,0.0,0.0833,2.4914,0.0833,0.0
助けて,0.0,0.0,0.0,0.0,4.6439,0.0,0.0
勉強,0.6479,0.0385,0.6479,0.1219,0.6479,0.3572,0.0385
動物,0.6479,0.0,0.3572,0.2308,0.2308,0.8077,0.2308
動画,0.1132,0.0,0.744,1.4427,0.0,0.1132,1.4427
勝った,0.0909,0.0,0.0,0.0909,0.0,0.5455,1.5313
勝手に,0.0,0.2113,2.9604,0.0667,0.0,0.0,0.0
化粧,0.0,0.0,0.2882,2.3054,0.0,0.0909,0.0
医師,0.0,0.0556,0.0556,0.1761,3.0387,0.0,0.0
医者,0.05,0.4644,0.3,0.0,1.7297,0.1585,0.0
卒業,1.175,0.2882,0.0,0.0,0.0909,0.2882,0.0909
原因,0.0833,0.5,1.0771,0.0833,0.2642,0.0,0.0
参加,0.2113,0.0667,0.0667,0.0667,0.0667,0.0667,1.6906
友,0.0588,0.0588,0.0588,0.1865,0.9908,0.0588,0.7603
友人,1.1461,0.0211,0.1919,0.1214,2.3931,0.8721,1.1207
友達,0.7297,0.0308,0.13,0.2022,2.1302,0.6656,1.4182
収入,0.4457,2.4444,0.0345,0.0,0.0,0.4457,0.0345
叔母,1.75,0.0,0.0833,0.0833,0.2642,0.0833,0.0
取ら,0.718,0.1761,1.1667,0.1761,0.1761,0.0,0.0
取引先,0.0667,0.0667,0.6192,0.0,1.6906,0.0667,0.0
受けた,0.3917,0.0961,1.9818,0.1818,0.2814,0.0961,0.0303
受けて,0.5463,0.1865,0.1865,0.1865,0.3529,0.5463,0.0
受験,0.5122,2.8661,0.0,0.0244,0.0773,0.3152,0.0244
口,0.4449,0.0175,0.6069,3.1745,0.0556,0.0175,0.0
古い,0.0833,0.2642,0.0,0.0833,0.2642,0.774,0.2642
台風,0.7207,1.25,0.2693,0.1935,0.1935,0.7207,0.0
合わ,1.2957,0.0769,0.2438,0.7144,0.0,0.0,0.0
合格,0.6239,1.2813,0.0,0.0,0.0,1.1073,0.1174
同じ,0.2585,0.0634,0.7887,1.308,0.2585,0.42,0.1858
同僚,0.5356,0.0566,0.4662,0.8677,2.2147,0.7538,0.1027
同級生,0.2438,0.0,0.0769,0.0,0.0769,1.2957,0.4615
周り,0.3096,0.3096,0.9966,0.7,0.1057,0.3096,0.0
周囲,0.2882,0.0,0.0909,1.175,0.5455,0.0,0.0
品,0.0455,0.0455,0.2727,0.5875,0.5875,0.5875,0.1441
員,0.1093,0.2069,0.8745,1.1929,0.1093,0.3203,0.0
商品,1.2766,0.0674,0.275,0.1277,0.5396,0.839,0.1277
問題,0.0473,0.8955,2.1239,0.3134,0.2514,0.3134,0.0149
喧嘩,1.2155,0.0,1.4533,0.7688,0.0704,0.0704,0.0222
嘘,0.2872,0.0222,1.3333,1.5753,0.3743,0.0222,0.0
